title,price,location,year,brand,condition,posted,link,image
VW PASSAT,"रू. 37,00,000","Tokha, Tokha-5, Kathmandu",,,| Used,1 hours ago,https://hamrobazaar.com/product/vw-passat-in-kathmandu/417de4f68f008cf2f457a79b955046e5,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/08/01/77cc69d0-dfeb-28e6-a3e4-c1578dca2dcf.webp?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
Maruti Suzuki 2006 Sale,"रू. 11,70,000","Tarakeshwor-4, Kathmandu, Bagmati Pradesh",2006,Suzuki,| Used,2 hours ago,https://hamrobazaar.com/product/maruti-suzuki-2006-sale-in-kathmandu/743b9a14b30088899436e3ad801362da,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/08/01/d72329f5-e9e0-7e52-e91d-e7dc78e0feb8.webp?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
2012 MODEL CHEVROLET OPTRA FULLY FRESH CONDITION ✳,"रू. 9,00,000","Itachhen, Bhaktapur-2, Bhaktapur, Bagmati Pradesh",2012,Chevrolet,| Like New,9 hours ago,https://hamrobazaar.com/product/2012-model-chevrolet-optra-fully-fresh-condition-in-bhaktapur/8d77204191cfc43976073cda2838e611,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/31/cc4d6150-e74e-e442-82b5-c02841d801e0.jpg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
1999 MODEL LAND ROVER FULLY FRESH CONDITION ‼️,"रू. 14,00,000","Itachhen, Bhaktapur-1, Bhaktapur, Bagmati Pradesh",1999,Land Rover,| Like New,9 hours ago,https://hamrobazaar.com/product/1999-model-land-rover-fully-fresh-condition-in-bhaktapur/8085803561441bfd86917edfd25a1ff1,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/31/1b86b3b8-7445-9899-4cc2-fb65b88cf30d.jpg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
Hyundai I20 Magna Sale,"रू. 14,50,000","Kathmandu, Kathmandu-11, Kathmandu",,Hyundai,| Used,14 hours ago,https://hamrobazaar.com/product/hyundai-i20-magna-sale-in-kathmandu/08844405560fe6280726297170741202,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/31/3ffb28ba-4b95-688a-efd3-58933953b439.webp?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp/resize,p_40,limit_0"
Toyota Rav4 1998model Finance Exchange,"रू. 13,00,000",,1998,Toyota,| Like New,16 hours ago,https://hamrobazaar.com/product/toyota-rav4-1998model-finance-exchange-in-nepal/3cbedff716904f9bb0cd4a45106a51bf,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/31/2a12c6e3-2c91-b007-a3b5-5efd7bd439fc.jpg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
Land Crusier Lj70 4wd 3 Door Jeep 9803656430,"रू. 14,99,000","Naya Thimi Sankhadhar Sawakha Chowk, Madhyapur Thimi-3, Bhaktapur",,Jeep,| Like New,16 hours ago,https://hamrobazaar.com/product/land-crusier-lj70-4wd-3-door-jeep-9803656430-in-bhaktapur/ff891ef4bcfb4838885e55625cf56ae3,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/31/89025d0c-8569-d114-b330-bd51e5ccc6da.webp?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
Kia Sportage 4wd Fully Fresh Model-2010,"रू. 22,00,000","Bhaktapur, Bhaktapur Municipality, Bhaktapur",2010,Kia,| Brand New,19 hours ago,https://hamrobazaar.com/product/kia-sportage-4wd-fully-fresh-model2010-in-bhaktapur/682cbf99ef7f62885faaf69baa75f02d,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/31/54b94d23-186f-503a-197f-b9ca1bf62cc9.jpeg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp/resize,p_40,limit_0"
Grand I10 2017,"रू. 22,00,000","Pokhara, Pokhara Lekhnath-2, Kaski",2017,,| Like New,21 hours ago,https://hamrobazaar.com/product/grand-i10-2017-in-kaski/902f7afeb117eb22c5f90fd4f352f274,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/31/ba78f3c2-2492-d7cf-2882-019dde960d89.webp?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
Grand I10 Asta 2014 Model,"रू. 18,50,000","Lr International, Kathmandu-23, Kathmandu",2014,,| Like New,21 hours ago,https://hamrobazaar.com/product/grand-i10-asta-2014-model-in-kathmandu/4834ffaa02fda59c315221e4271c38f3,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/31/ebb2b25b-9962-30e3-baa6-0d38bd4c1513.webp?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
